# ID X Y Z T U V W
1.908000000000000000e+03 7.325998165009187879e+00 -1.410621222784012585e-01 4.303295536380495889e-01 1.450000021606683731e+01 9.065488212019969794e-01 -1.622057210367844060e-01 -2.322990813912632554e-02
2.182000000000000000e+03 6.026299032508623199e+00 1.458930116201724747e+00 3.469571789317381638e-01 1.450000021606683731e+01 1.072420235413318101e+00 6.446521027156736257e-03 -6.905998203393830422e-03
2.471000000000000000e+03 3.789606187287875905e+00 -1.372439672886731410e+00 4.621515648962034040e-01 1.450000021606683731e+01 1.059333512562652846e+00 -1.665488089790602595e-03 -4.983577496977248519e-04
2.007000000000000000e+03 5.706712852176632822e+00 2.818112059650683676e-01 3.362128563979065454e-01 1.450000021606683731e+01 6.952208769733304594e-01 4.640264109506172380e-02 -2.283921219850683706e-02
2.946000000000000000e+03 2.660218411946085881e-01 -1.059887934932957743e+00 2.954405832154278766e-01 1.450000021606683731e+01 1.043686132916662901e+00 -9.956580062694064814e-03 -5.156489918885146136e-03
1.699000000000000000e+03 6.651318650041310399e+00 2.062312304144516273e-01 -4.923374387427885690e-01 1.450000021606683731e+01 6.993427206892690595e-01 -4.066914012266783368e-02 -5.538031891328326801e-03
2.784000000000000000e+03 7.527772410956323768e-01 9.096301985855316519e-02 7.170313621566221096e-02 1.450000021606683731e+01 7.111517870753066850e-01 -2.195971656681816875e-01 -1.262753701097076020e-01
2.390000000000000000e+03 4.421257995278456754e+00 1.360443499772167497e+00 -2.658190684404188042e-01 1.450000021606683731e+01 1.081930268959426567e+00 6.415841558580980333e-03 8.211663092025320645e-03
2.762000000000000000e+03 9.471190510618274772e-01 -1.231118725119648427e-01 2.667753320539495432e-01 1.450000021606683731e+01 7.142280731424184292e-01 -3.752503302149279296e-01 8.638515313789137118e-02
2.356000000000000000e+03 4.693899649581173783e+00 3.291223033439236723e-01 3.949821584598448010e-01 1.450000021606683731e+01 9.939086833405004207e-01 -1.193926222906711576e-01 2.108253302043637881e-02
2.183000000000000000e+03 6.217814567095123479e+00 -4.099320617246962062e-01 -4.507433382472915140e-01 1.450000021606683731e+01 1.053052393391292751e+00 5.283123276157677267e-02 6.364557389546525099e-03
2.737000000000000000e+03 1.800856956285045829e+00 9.648540449106696171e-01 4.379981689132342315e-01 1.450000021606683731e+01 1.066241399519001209e+00 -4.271328268803516875e-02 2.558957225215668322e-03
2.834000000000000000e+03 1.121811403099327586e+00 8.257862208490392986e-01 6.398294090250752908e-02 1.450000021606683731e+01 1.050999562594586267e+00 1.781976842394287358e-02 -9.003330951288582990e-03
2.480000000000000000e+03 3.725371465813118732e+00 6.924948165382954768e-01 1.351924130923801148e-01 1.450000021606683731e+01 1.061401973573680824e+00 6.325958531394918968e-04 -3.186738236521335227e-02
2.891000000000000000e+03 8.409185620270988037e-01 -1.457422842449342282e+00 4.180460755330329264e-02 1.450000021606683731e+01 1.046379009074326349e+00 -5.757617067448653897e-03 -8.395384986674877745e-03
1.881000000000000000e+03 7.184246779440311315e+00 -8.309106745279563888e-02 4.045207426795672800e-01 1.450000021606683731e+01 9.418372974411931553e-01 -5.505348408234483210e-02 -8.518812508652950921e-02
2.329000000000000000e+03 4.676813710230910637e+00 -1.197535531232687966e-01 1.187583089987303969e-01 1.450000021606683731e+01 8.770913720577355743e-01 1.552596405722080630e-01 -2.405690115615325558e-02
2.806000000000000000e+03 1.465618341401331515e+00 -5.365465775310218621e-01 1.991291229045937528e-01 1.450000021606683731e+01 1.046531049436296268e+00 4.276555976973158563e-02 -1.154996746384291152e-02
2.357000000000000000e+03 4.835012558774297808e+00 -7.757149269178394979e-01 1.000194217013434667e-01 1.450000021606683731e+01 1.056644951386264575e+00 4.917689631803359024e-02 1.777684772481427644e-02
2.166000000000000000e+03 6.345152318171537686e+00 3.483892534146935116e-01 1.731335967690120492e-01 1.450000021606683731e+01 1.046585833942511590e+00 -1.559922153600943329e-01 7.548276102599439652e-02
2.738000000000000000e+03 1.748729616047199009e+00 6.673780025330811050e-01 2.799008319600183037e-01 1.450000021606683731e+01 1.068891827093316982e+00 -2.501055045167726795e-02 -4.057553161517426371e-03
2.680000000000000000e+03 2.371824841767534942e+00 -2.975120271071576283e-01 3.491826740298628051e-01 1.450000021606683731e+01 1.191837594247181276e+00 2.812828627463249132e-01 -1.100956310620575251e-01
2.446000000000000000e+03 4.204501763711785856e+00 1.288797536023817081e+00 -2.397617091535082789e-01 1.450000021606683731e+01 1.079042757093271021e+00 9.627969083016416768e-03 1.015555369939525124e-02
2.153000000000000000e+03 5.994615806733998298e+00 -5.948333460664555483e-01 1.230584949213455737e-01 1.450000021606683731e+01 9.011490783188645937e-01 -1.391616099872300394e-01 -1.101377007961607153e-02
1.882000000000000000e+03 6.292953757778628088e+00 -3.777299050153086757e-01 2.634791048658729484e-01 1.450000021606683731e+01 9.144510426802193725e-01 -1.392541701600288895e-01 -3.344452373985305066e-02
3.044000000000000000e+03 -4.459079364741295737e-01 1.162766713933556684e+00 9.069066311752127518e-02 1.450000021606683731e+01 1.003454284169362332e+00 1.941026054505805287e-02 5.949040969344869187e-03
2.008000000000000000e+03 7.248795907046816644e+00 9.623612710562565731e-01 -7.902149511550377037e-02 1.450000021606683731e+01 1.081417148037467912e+00 -1.308488990894300999e-02 5.729561534555752296e-03
2.472000000000000000e+03 3.957802110076251267e+00 -1.043698993784013540e+00 -1.155273563246844715e-01 1.450000021606683731e+01 1.067813883142129772e+00 -4.536325979457480478e-02 2.872418756834051873e-02
2.434000000000000000e+03 4.197819684915201854e+00 6.174397435470733164e-01 2.465305531578725340e-01 1.450000021606683731e+01 1.140349984296475716e+00 -8.259078507116038304e-02 4.477202289413771165e-03
2.104000000000000000e+03 6.208266726653458356e+00 -3.024871888330112057e-02 4.065596185602949886e-01 1.450000021606683731e+01 7.428180826666870296e-01 -1.051735422914050755e-01 1.099845555876314690e-01
2.127000000000000000e+03 6.005508321853359810e+00 -2.887909229825693647e-01 1.902099886736867071e-03 1.450000021606683731e+01 9.269271096896800621e-01 -3.093065067496204024e-01 -1.134584847981618405e-01
3.045000000000000000e+03 -3.926986794751647913e-01 -3.333393638999755382e-01 4.221446823762410316e-01 1.450000021606683731e+01 9.950794801411286805e-01 -8.754416955784269372e-02 1.455114827549536249e-03
2.968000000000000000e+03 1.909617690211540264e-01 2.329754014849473587e-02 -1.574390516462311207e-01 1.450000021606683731e+01 3.811857115977829724e-01 -5.275086808696713980e-01 -1.783452051437839705e-02
2.858000000000000000e+03 1.073814274415255898e+00 2.845754865645416243e-01 -1.298490120838468598e-01 1.450000021606683731e+01 8.806949056392229247e-01 -1.628925675726016209e-01 -6.998938611932260800e-02
1.854000000000000000e+03 7.387951614055322302e+00 -1.285965537434804906e+00 -3.226360501876423537e-01 1.450000021606683731e+01 1.021961835847702948e+00 -1.482888716806811114e-01 8.774145582854386838e-02
2.947000000000000000e+03 4.295257235171076049e-01 -1.402783648147112983e+00 4.534786340025405427e-02 1.450000021606683731e+01 1.041550427733678896e+00 -7.544400828409966210e-03 -8.287651571348886650e-03
2.816000000000000000e+03 1.356981014330772783e+00 -1.475494227816405379e+00 3.136751056895716039e-02 1.450000021606683731e+01 1.052807267153154314e+00 -5.701344977541157946e-03 -9.569045343607557319e-03
2.238000000000000000e+03 4.577179259368213238e+00 3.743227027289288689e-01 -2.521859545390480184e-01 1.450000021606683731e+01 8.270996262344707528e-01 -7.552290078177691102e-02 4.087301622455364464e-02
2.184000000000000000e+03 6.235794438984953558e+00 -1.480765306605287046e+00 -3.991004431365113847e-01 1.450000021606683731e+01 1.063879139683305830e+00 3.812717796180463328e-03 -4.048131429008261159e-03
2.647000000000000000e+03 2.561126943084087060e+00 1.279679048792720764e+00 -8.320661729426448439e-02 1.450000021606683731e+01 1.072376880552197820e+00 1.182772663156638100e-02 1.214578364915563057e-02
2.785000000000000000e+03 1.423596894459499440e+00 -9.451893221037448445e-01 3.190202436824828292e-01 1.450000021606683731e+01 1.050704521030807470e+00 -1.106616109672120367e-02 -6.580188437386023069e-03
2.723000000000000000e+03 1.233361060866513315e+00 1.720396500022493558e-01 -1.846175940022529438e-01 1.450000021606683731e+01 5.192615860892734192e-01 4.647970991113803407e-02 -5.568917426573932739e-02
2.603000000000000000e+03 1.828013667427597966e+00 -3.962253122477177314e-02 2.695734074422234672e-01 1.450000021606683731e+01 5.958176109386538188e-01 -7.762519630446292063e-02 1.639645206116013276e-01
2.786000000000000000e+03 1.495175443036940832e+00 4.347646071859783135e-01 5.572684976280931762e-02 1.450000021606683731e+01 1.109529458988603556e+00 6.292548737793215996e-02 -7.469806338267329093e-02
2.948000000000000000e+03 4.560212969782298509e-01 -3.088382486789016390e-01 -3.173122496949485338e-01 1.450000021606683731e+01 1.201340346913197354e+00 2.206936751213041115e-01 1.720091620440965079e-03
2.648000000000000000e+03 2.409942265276861395e+00 -1.321837088472415322e+00 -3.996160665441947923e-01 1.450000021606683731e+01 1.067686277164622277e+00 4.669680103469278989e-03 -6.841685136740453289e-03
2.456000000000000000e+03 3.872251855976132529e+00 -8.912881659323548256e-01 -4.484866860595913551e-01 1.450000021606683731e+01 1.051320613442928487e+00 -1.546951626437598204e-02 1.496990615559210501e-02
2.919000000000000000e+03 5.190610159921518196e-01 -5.912896126857776213e-01 4.212121710873345526e-01 1.450000021606683731e+01 1.035025251329440898e+00 3.482745001427142023e-02 -2.705488717515779681e-03
2.457000000000000000e+03 3.410021779702886668e+00 1.851430859873954837e-01 3.682830831921918291e-01 1.450000021606683731e+01 1.074248816032775444e+00 -4.472577233410042485e-02 1.716641085032782343e-01
2.473000000000000000e+03 3.870484684330576464e+00 1.120709840463925078e+00 -3.332267394716225128e-01 1.450000021606683731e+01 1.072905605137543628e+00 1.003347233204045924e-02 4.795608668273074714e-03
2.388000000000000000e+03 3.440526609806908276e+00 -2.543382884391080512e-01 -3.838116694789165395e-01 1.450000021606683731e+01 8.787531737911048468e-01 8.198177972405000513e-02 3.220817948301329947e-02
2.577000000000000000e+03 3.057678454731242113e+00 -1.492021113251683184e+00 -2.749027647593734192e-01 1.450000021606683731e+01 1.063215666235735490e+00 4.039537904067613469e-03 -5.974459353213881427e-03
2.035000000000000000e+03 6.844542475002283410e+00 -1.292285609589828854e-01 4.464611073777364214e-01 1.450000021606683731e+01 9.719524011609167458e-01 1.004859270196867410e-01 1.637769927261435374e-02
2.370000000000000000e+03 3.531503834284735799e+00 -1.652981836729653375e-01 -9.995864402907615742e-02 1.450000021606683731e+01 8.978876097366630393e-01 8.819235885767998107e-02 4.605443091006252744e-03
2.874000000000000000e+03 6.368873174452251984e-01 -1.148591220605631180e-02 -1.529351660708314631e-01 1.450000021606683731e+01 6.522259537925533257e-01 8.433093946512802974e-01 -1.568500397307898142e-01
2.892000000000000000e+03 8.703576583333509920e-01 -4.801525518038652351e-01 -2.976934881188166848e-01 1.450000021606683731e+01 9.799383684199186595e-01 -3.336370209667809811e-02 1.292522817942415650e-02
2.875000000000000000e+03 7.506547694409232419e-01 -1.216190096177392377e+00 -3.624427117350444427e-01 1.450000021606683731e+01 1.044796433980351713e+00 6.645295580592765552e-03 -6.517789140549714623e-03
2.128000000000000000e+03 6.592748401496905331e+00 -1.471735449078137581e+00 3.631999554052699475e-01 1.450000021606683731e+01 1.089100350960491737e+00 1.178820350562031572e-03 7.961117849421463916e-04
2.046000000000000000e+03 7.052597670507298133e+00 -1.442535373219343997e+00 -4.879139423954169733e-03 1.450000021606683731e+01 1.049254825606340313e+00 3.932062046176237370e-03 2.702462469179894161e-02
2.933000000000000000e+03 3.313040182737645445e-01 8.345201906259184232e-01 -4.317902831544370157e-01 1.450000021606683731e+01 1.045984818249218851e+00 2.636371179544727550e-02 -4.042162117815944252e-04
2.061000000000000000e+03 6.538220616914505179e+00 -6.736032728763230448e-02 3.318522089968662520e-02 1.450000021606683731e+01 9.329038394957497315e-01 1.269172193088401734e-01 6.830336977073735161e-02
2.185000000000000000e+03 6.171356705333709947e+00 -1.358125664270039001e+00 1.118995943997725395e-01 1.450000021606683731e+01 1.065402868569890860e+00 -8.430436741844266058e-03 -2.738041760511943437e-02
2.141000000000000000e+03 5.939806063116681578e+00 -8.586770331118062649e-02 -1.299624683736945174e-01 1.450000021606683731e+01 9.644566317318390425e-01 -2.896092153415205650e-02 6.740472772927005862e-02
3.025000000000000000e+03 -3.913683158176516352e-01 6.418573919134396011e-01 3.900925959429602519e-01 1.450000021606683731e+01 1.015266079292579615e+00 4.475878958538785646e-02 -1.989518829897307661e-02
2.239000000000000000e+03 5.567084569097302094e+00 6.771808264452373605e-01 2.564435747898591300e-01 1.450000021606683731e+01 1.115828228222195850e+00 -8.425672096843568604e-02 -5.100288943310533202e-02
2.859000000000000000e+03 9.512454309249575024e-01 1.001747812983463382e+00 3.297328996401678869e-01 1.450000021606683731e+01 1.053660319672666157e+00 -1.734573350052573057e-02 9.127606592683142062e-03
